<<<<<<< HEAD
ID,Company,Ticker,Category,Stock Exchange,Market Bdollar,ESG Score,Revenue Bdollar,Main Focus,Region,Year Founded
49,Sunnova,NOVA,Solar Energy,NYSE (USA),4.2,36,1.2,Solar Energy,North America,2012
50,Hydro One,H.TO,Renewable Energy,Toronto Stock Exchange,12.4,29,7.8,Power Distribution,North America,1906
51,Landis+Gyr,LAND.SW,Water Technology,SIX Swiss Exchange,3.2,32,1.8,Smart Energy,Europe,1896
52,Xinyi Solar,0968.HK,Solar Energy,Hong Kong Stock Exchange,15.6,33,2.3,Solar Glass,Asia,1988
53,Neste,NESTE.HE,Biofuels,Helsinki Stock Exchange,45.6,30,18.9,Biofuels,Europe,1948
54,Meridian Energy,MEL.NZ,Renewable Energy,New Zealand Stock Exchange,8.9,27,2.4,Renewable Energy,Oceania,1998
55,Northland Power,NPI.TO,Renewable Energy,Toronto Stock Exchange,6.8,28,1.8,Renewable Energy,North America,1987
56,ITM Power,ITM.L,Hydrogen & Fuel Cells,London Stock Exchange,2.1,39,0.8,Green Hydrogen,Europe,2001
57,EDP Renovaveis,EDPR.LS,Renewable Energy,Euronext Lisbon,25.6,27,5.6,Renewable Energy,Europe,1994
58,Nel ASA,NEL.OL,Hydrogen & Fuel Cells,Oslo Stock Exchange,4.2,38,1.2,Hydrogen Technology,Europe,1927
59,Contact Energy,CEN.NZ,Renewable Energy,New Zealand Stock Exchange,3.2,29,1.8,Renewable Energy,Oceania,1995
60,Ormat Technologies,ORA,Renewable Energy,NYSE (USA),4.2,28,0.8,Geothermal Energy,North America,1965
61,Sunworks,SUNW,Solar Energy,NASDAQ (USA),0.1,35,0.1,Solar Energy,North America,1983
62,JinkoSolar,JKS,Solar Energy,NYSE (USA),2.5,30,7.8,Solar Energy,Asia,2006
63,Scatec ASA,SCATC.OL,Renewable Energy,Oslo Stock Exchange,3.8,27,1.2,Renewable Energy,Europe,2007
64,Atlantica Sustainable Infrastructure,AY,Renewable Energy,NASDAQ (USA),,27,1.1,Renewable Energy,North America,2013
65,Fluence Energy,FLNC,Energy Storage,NASDAQ (USA),6.8,32,1.4,Energy Storage,North America,2018
66,Bloom Energy,BE,Hydrogen & Fuel Cells,NYSE (USA),4.5,38,1.2,Hydrogen Fuel Cells,North America,2001
67,Sunlight Financial,SUNL,Solar Energy,NYSE (USA),0.8,34,0.3,Solar Energy,North America,2014
68,Maxeon Solar Technologies,MAXN,Solar Energy,NASDAQ (USA),1.2,31,1.1,Solar Energy,Asia,2020
69,Azure Power Global,AZRE,Solar Energy,NYSE (USA),0.9,33,0.4,Solar Energy,Asia,2008
70,Sunseap Group,Not Listed*,Renewable Energy,Singapore Exchange,0.5,29,0.2,Renewable Energy,Asia,2011
71,ReNew Power,RNW,Renewable Energy,NASDAQ (USA),6.8,28,1.2,Renewable Energy,Asia,2011
72,Green Plains,GPRE,Biofuels,NASDAQ (USA),1.8,35,2.5,Biofuel Production,North America,2004
73,Gevo,GEVO,Biofuels,NASDAQ (USA),0.6,37,0.1,Biofuels,North America,2005
74,Aemetis,AMTX,Biofuels,NASDAQ (USA),0.4,36,0.2,Biofuels,North America,2006
75,Darling Ingredients,DAR,Biofuels,NYSE (USA),10.5,30,4.8,Biofuels,North America,1882
76,Amyris,AMRS,Biofuels,NASDAQ (USA),1.2,38,0.3,Biofuels,North America,2003
78,LanzaTech,LNZA,Biofuels,NASDAQ (USA),1.8,33,0.2,Biofuels,North America,2005
79,Rivian Automotive,RIVN,Sustainable Transportation,NASDAQ (USA),15.0,36,0.5,Electric Vehicles,North America,2009
80,LG Chem,051910.KS,Sustainable Materials,Korea Exchange (KRX),35.8,32,40.2,Battery Materials,Asia,1947
81,Waste Connections,WCN,Waste Management,NYSE (USA),45.2,28,8.0,Waste Management,North America,1997
82,Umicore,UMI.BR,Sustainable Materials,Euronext Brussels,8.5,34,25.6,Recycling & Materials,Europe,1906
83,CATL (Contemporary Amperex Technology),300750.SZ,Green Technology,Shenzhen Stock Exchange,150.0,31,55.8,Battery Technology,Asia,2011
84,SSE plc,SSE.L,Renewable Energy,London Stock Exchange,25.4,29,12.5,Renewable Energy,Europe,1998
85,Trane Technologies,TT,Energy Efficiency,NYSE (USA),65.8,33,17.7,Climate Solutions,North America,1871
86,OPAL Fuels,OPAL,Biofuels,NASDAQ (USA),1.5,35,0.3,Renewable Natural Gas,North America,1998
87,EDF Renewables,EDF.PA,Renewable Energy,Euronext Paris,39.0,28,15.0,"Wind, Solar, Hydro Energy",Europe,1946
88,ChargePoint,CHPT,Energy Storage,NYSE (USA),10.0,34,0.2,EV Charging Infrastructure,North America,2007
89,Lucid Group,LCID,Sustainable Transportation,NASDAQ (USA),10.0,35,0.2,Luxury Electric Vehicles,North America,2007
90,Republic Services,RSG,Waste Management,NYSE (USA),44.0,27,12.0,Waste & Recycling Services,North America,1998
